"id","category","created_at","description","finder_contact","found_location","image_url","reporter_ref","reporter_type","resolve_note","status","title","updated_at","claimant_contact","claimant_name","claimant_note","claimed_at"
"1","기타","2026-04-23T16:18:04.867509","총실에 지갑이 있음","","총실","","S001","STAFF","","REGISTERED","지갑","2026-04-23T16:55:14.625197","","","",""
"6","전자기기","2026-05-04T20:14:46.105143","흰색 무선 이어폰 케이스입니다. 케이스에 작은 스트랩이 달려 있습니다.","종합 안내 데스크","푸드트럭 구역 테이블","https://images.pexels.com/photos/26550470/pexels-photo-26550470.jpeg?auto=compress&cs=tinysrgb&w=800","seed","STAFF","","REGISTERED","흰색 무선 이어폰 케이스","2026-05-13T18:19:12.261141","","","",""
"7","우산","2026-05-04T20:14:46.110124","초록색과 주황색이 섞인 접이식 우산입니다. 비닐 커버 없이 접힌 상태로 발견되었습니다.","종합 안내 데스크","노천극장 입구 계단","https://images.pexels.com/photos/26185842/pexels-photo-26185842.jpeg?auto=compress&cs=tinysrgb&w=800","seed","STAFF","","OWNER_CLAIMED","초록색 접이식 우산","2026-05-13T18:19:19.904357","","","",""
"8","생활용품","2026-05-04T20:14:46.115125","은색 스테인리스 텀블러입니다. 뚜껑 부분에 작은 흠집이 있습니다.","종합 안내 데스크","공식 굿즈샵 옆 휴게 공간","https://images.pexels.com/photos/8852778/pexels-photo-8852778.jpeg?auto=compress&cs=tinysrgb&w=800","seed","STAFF","","REGISTERED","실버 텀블러","2026-05-04T20:14:46.115125","","","",""
"9","가방","2026-05-04T20:14:46.119126","베이지색 캔버스 에코백입니다. 안쪽에 작은 파우치와 선글라스 케이스가 들어 있습니다.","종합 안내 데스크","스탬프 미션 센터 앞","https://images.pexels.com/photos/26894083/pexels-photo-26894083.jpeg?auto=compress&cs=tinysrgb&w=800","seed","STAFF","","RETURNED","베이지색 에코백","2026-05-04T20:27:13.453335","01012345678","정재훈","이뻐여!","2026-05-04T20:26:40.525890"
"10","지갑","2026-05-06T20:57:23.222302","검은색 반지갑입니다. 내부에 카드 여러 장과 학생증으로 보이는 카드가 들어 있습니다.","종합 안내 데스크","종합 안내 데스크 앞 벤치","https://images.pexels.com/photos/7085781/pexels-photo-7085781.jpeg?auto=compress&cs=tinysrgb&w=800","seed","STAFF","","REGISTERED","검은색 가죽 지갑","2026-05-06T20:57:23.222302","","","",""
"11","전자기기","2026-05-06T20:57:23.225294","65W USB-C 타입 노트북 충전기입니다. 케이블에 흰색 이름표 스티커가 붙어 있습니다.","종합 안내 데스크","모바일 충전 스테이션","https://images.pexels.com/photos/4219861/pexels-photo-4219861.jpeg?auto=compress&cs=tinysrgb&w=800","seed","STAFF","","REGISTERED","검정 노트북 충전기","2026-05-06T20:57:23.225294","","","",""
"12","카드","2026-05-06T20:57:23.226292","투명 카드홀더에 들어 있는 학생증입니다. 파란색 목걸이 줄이 연결되어 있습니다.","종합 안내 데스크","네컷 포토존 대기줄","https://images.pexels.com/photos/4466172/pexels-photo-4466172.jpeg?auto=compress&cs=tinysrgb&w=800","seed","STAFF","","REGISTERED","학생증 카드","2026-05-06T20:57:23.226292","","","",""
"13","의류","2026-05-06T20:57:23.227289","빨간색 후드 집업입니다. 왼쪽 소매 끝에 작은 얼룩이 있습니다.","종합 안내 데스크","노천극장 객석 뒤편","https://images.pexels.com/photos/6311392/pexels-photo-6311392.jpeg?auto=compress&cs=tinysrgb&w=800","seed","STAFF","","REGISTERED","빨간 후드 집업","2026-05-06T20:57:23.227289","","","",""
"14","열쇠","2026-05-06T20:57:23.228289","검은색 스마트키와 작은 곰 모양 키링이 달린 열쇠입니다.","종합 안내 데스크","청년 플리마켓 계산대","https://images.pexels.com/photos/279810/pexels-photo-279810.jpeg?auto=compress&cs=tinysrgb&w=800","seed","STAFF","","REGISTERED","차 키 키링","2026-05-06T20:57:23.228289","","","",""
"15","생활용품","2026-05-06T20:57:23.229290","500ml 투명 물병입니다. 뚜껑에 민트색 손잡이가 달려 있습니다.","종합 안내 데스크","미니 게임 존 옆 벤치","https://images.pexels.com/photos/416528/pexels-photo-416528.jpeg?auto=compress&cs=tinysrgb&w=800","seed","STAFF","","OWNER_CLAIMED","투명 물병","2026-06-12T00:12:50.703708","01064286247","정재훈","제꺼 맞는 것 같아요! 꼭 연락주세여 ㅠ","2026-06-12T00:12:50.703708"
"16","파우치","2026-05-06T20:57:23.229290","작은 화장품과 립밤이 들어 있는 보라색 지퍼 파우치입니다.","종합 안내 데스크","공과대학 주점 테이블","https://images.pexels.com/photos/1152077/pexels-photo-1152077.jpeg?auto=compress&cs=tinysrgb&w=800","seed","STAFF","","REGISTERED","보라색 파우치","2026-05-06T20:57:23.229290","","","",""
