"id","active","category","content","created_at","title","updated_at"
"1","true","우천","오늘 18:00 이후 비 예보가 있어 실외 공연은 우천 대체 무대로 이동될 수 있습니다.","2026-04-02T07:43:51.343072","우천 안내","2026-04-02T07:43:51.343072"
"16","true","긴급","지금부터 '하이키' 공연이 시작됩니다. 관객석으로 이동해 주세요.","2026-05-13T22:59:53.045748","공연 시작 안내","2026-05-13T22:59:53.045748"
"17","true","긴급","디지털미디어학과 네온주점 주변이 매우 붐빕니다. 중앙광장 우회 동선을 이용해 주세요.","2026-05-13T23:18:00.982287","혼잡 완화 안내","2026-05-13T23:18:00.982287"
"18","true","긴급","지금부터 '하이키' 공연이 시작됩니다. 관객석으로 이동해 주세요.","2026-05-13T23:18:03.998138","공연 시작 안내","2026-05-13T23:18:03.998138"
"19","true","긴급","지금부터 '득근득근 포징 공연' 공연이 시작됩니다. 관객석으로 이동해 주세요.","2026-05-13T23:18:04.012860","공연 시작 안내","2026-05-13T23:18:04.012860"
"20","true","긴급","지금부터 '하이키' 공연이 시작됩니다. 관객석으로 이동해 주세요.","2026-05-13T23:18:04.025845","공연 시작 안내","2026-05-13T23:18:04.025845"
"21","true","긴급","지금부터 '하이키' 공연이 시작됩니다. 관객석으로 이동해 주세요.","2026-05-13T23:32:22.878403","공연 시작 안내","2026-05-13T23:32:22.878403"
"22","true","긴급","디지털미디어학과 네온주점 주변이 매우 붐빕니다. 중앙광장 우회 동선을 이용해 주세요.","2026-05-13T23:32:44.648799","혼잡 완화 안내","2026-05-13T23:32:44.648799"
"23","true","긴급","지금부터 '하이키' 공연이 시작됩니다. 관객석으로 이동해 주세요.","2026-05-13T23:32:45.525141","공연 시작 안내","2026-05-13T23:32:45.525141"
"25","true","혼잡","현재 푸드존과 심야 라면 포차 주변 혼잡 위험이 높습니다. 30분 뒤 방문하거나 글로벌 푸드트럭 케밥 라인을 이용해 주세요.","2026-05-30T17:35:03.488620","AI 혼잡 예측 안내","2026-05-30T17:35:03.488620"
"26","true","공연","응원단 합동 무대 시작 20분 전부터 메인 스테이지 앞 진입이 제한될 수 있습니다.","2026-05-30T17:35:03.488620","공연 전 동선 분산 요청","2026-05-30T17:35:03.488620"
"27","true","분실물","분실물 접수와 반환은 종합 안내 데스크와 조용한 상담 텐트에서 가능합니다.","2026-05-30T17:35:03.488620","분실물 센터 위치 안내","2026-05-30T17:35:03.488620"
"28","true","안내","비가 오면 향수 블렌딩 클래스와 AI 운세 사진관은 학생회관 1층으로 이동합니다.","2026-05-30T17:35:03.488620","우천 대비 운영 변경","2026-05-30T17:35:03.488620"
"29","true","안전","23시 이후 후문, 정문, 기숙사 방향 셔틀 대기열을 분산 운영합니다.","2026-05-30T17:35:03.488620","심야 귀가 셔틀 안내","2026-05-30T17:35:03.488620"
